text,labels
Contrat de partenariat signé par Julie Martin le 12 décembre 2020.,"[(0, 22, 0), (33, 45, 1), (49, 65, 2)]"
Accord de cession signé par Marc Robert le 5 août 2019.,"[(0, 17, 0), (28, 39, 1), (43, 54, 2)]"
Contrat de partenariat signé par Julie Martin le 15 janvier 2023.,"[(0, 22, 0), (33, 45, 1), (49, 64, 2)]"
Contrat de fourniture signé par Sarah Bernard le 25 avril 2020.,"[(0, 21, 0), (32, 45, 1), (49, 62, 2)]"
Contrat de bail signé par Louis Moreau le 30 septembre 2023.,"[(0, 15, 0), (26, 38, 1), (42, 59, 2)]"
Contrat de partenariat signé par Sarah Bernard le 12 décembre 2020.,"[(0, 22, 0), (33, 46, 1), (50, 66, 2)]"
Accord de confidentialité signé par Louis Moreau le 2 février 2021.,"[(0, 25, 0), (36, 48, 1), (52, 66, 2)]"
Contrat de travail signé par Nicolas Petit le 12 décembre 2020.,"[(0, 18, 0), (29, 42, 1), (46, 62, 2)]"
Accord de collaboration signé par Marc Robert le 25 avril 2020.,"[(0, 23, 0), (34, 45, 1), (49, 62, 2)]"
Accord de cession signé par Sophie Leclerc le 15 janvier 2023.,"[(0, 17, 0), (28, 42, 1), (46, 61, 2)]"
Accord de cession signé par Paul Garnier le 2 février 2021.,"[(0, 17, 0), (28, 40, 1), (44, 58, 2)]"
Contrat de partenariat signé par Nicolas Petit le 15 janvier 2023.,"[(0, 22, 0), (33, 46, 1), (50, 65, 2)]"
Contrat de prestation de services signé par Claire Durand le 15 janvier 2023.,"[(0, 33, 0), (44, 57, 1), (61, 76, 2)]"
Accord commercial signé par Marc Robert le 18 mars 2022.,"[(0, 17, 0), (28, 39, 1), (43, 55, 2)]"
Contrat de partenariat signé par Sarah Bernard le 25 avril 2020.,"[(0, 22, 0), (33, 46, 1), (50, 63, 2)]"
Accord de collaboration signé par Jean Dupont le 30 septembre 2023.,"[(0, 23, 0), (34, 45, 1), (49, 66, 2)]"
Contrat de fourniture signé par Marc Robert le 5 août 2019.,"[(0, 21, 0), (32, 43, 1), (47, 58, 2)]"
Accord commercial signé par Claire Durand le 2 février 2021.,"[(0, 17, 0), (28, 41, 1), (45, 59, 2)]"
Accord commercial signé par Louis Moreau le 12 décembre 2020.,"[(0, 17, 0), (28, 40, 1), (44, 60, 2)]"
Accord commercial signé par Claire Durand le 10 juin 2021.,"[(0, 17, 0), (28, 41, 1), (45, 57, 2)]"
Contrat de bail signé par Lucie Noël le 18 mars 2022.,"[(0, 15, 0), (26, 36, 1), (40, 52, 2)]"
Accord de cession signé par Sophie Leclerc le 18 mars 2022.,"[(0, 17, 0), (28, 42, 1), (46, 58, 2)]"
Accord de cession signé par Julie Martin le 15 janvier 2023.,"[(0, 17, 0), (28, 40, 1), (44, 59, 2)]"
Contrat de prestation de services signé par Nicolas Petit le 20 octobre 2022.,"[(0, 33, 0), (44, 57, 1), (61, 76, 2)]"
Contrat de travail signé par Louis Moreau le 18 mars 2022.,"[(0, 18, 0), (29, 41, 1), (45, 57, 2)]"
Accord de cession signé par Sophie Leclerc le 12 décembre 2020.,"[(0, 17, 0), (28, 42, 1), (46, 62, 2)]"
Contrat d'assurance signé par Jean Dupont le 18 mars 2022.,"[(0, 19, 0), (30, 41, 1), (45, 57, 2)]"
Contrat de partenariat signé par Paul Garnier le 7 juillet 2021.,"[(0, 22, 0), (33, 45, 1), (49, 63, 2)]"
Contrat de bail signé par Nicolas Petit le 5 août 2019.,"[(0, 15, 0), (26, 39, 1), (43, 54, 2)]"
Accord de confidentialité signé par Claire Durand le 30 septembre 2023.,"[(0, 25, 0), (36, 49, 1), (53, 70, 2)]"
Contrat de prestation de services signé par Louis Moreau le 12 décembre 2020.,"[(0, 33, 0), (44, 56, 1), (60, 76, 2)]"
Accord commercial signé par Sophie Leclerc le 18 mars 2022.,"[(0, 17, 0), (28, 42, 1), (46, 58, 2)]"
Accord de collaboration signé par Marc Robert le 7 juillet 2021.,"[(0, 23, 0), (34, 45, 1), (49, 63, 2)]"
Accord de confidentialité signé par Sarah Bernard le 12 décembre 2020.,"[(0, 25, 0), (36, 49, 1), (53, 69, 2)]"
Contrat de partenariat signé par Julie Martin le 12 décembre 2020.,"[(0, 22, 0), (33, 45, 1), (49, 65, 2)]"
Accord de cession signé par Lucie Noël le 18 mars 2022.,"[(0, 17, 0), (28, 38, 1), (42, 54, 2)]"
Contrat d'assurance signé par Louis Moreau le 15 janvier 2023.,"[(0, 19, 0), (30, 42, 1), (46, 61, 2)]"
Contrat de bail signé par Sophie Leclerc le 5 août 2019.,"[(0, 15, 0), (26, 40, 1), (44, 55, 2)]"
Contrat de bail signé par Nicolas Petit le 20 octobre 2022.,"[(0, 15, 0), (26, 39, 1), (43, 58, 2)]"
Contrat de partenariat signé par Sophie Leclerc le 20 octobre 2022.,"[(0, 22, 0), (33, 47, 1), (51, 66, 2)]"
Contrat de bail signé par Sarah Bernard le 5 août 2019.,"[(0, 15, 0), (26, 39, 1), (43, 54, 2)]"
