,text,labels
38,Contrat d'assurance signé par Marc Robert le 2 février 2021.,"[(0, 19, 1), (30, 41, 2), (45, 59, 3)]"
39,Contrat de fourniture signé par Nicolas Petit le 5 août 2019.,"[(0, 21, 1), (32, 45, 2), (49, 60, 3)]"
40,Contrat de partenariat signé par Julie Martin le 15 janvier 2023.,"[(0, 22, 1), (33, 45, 2), (49, 64, 3)]"
41,Contrat de prestation de services signé par Sarah Bernard le 18 mars 2022.,"[(0, 33, 1), (44, 57, 2), (61, 73, 3)]"
42,Contrat de prestation de services signé par Nicolas Petit le 12 décembre 2020.,"[(0, 33, 1), (44, 57, 2), (61, 77, 3)]"
43,Accord de confidentialité signé par Nicolas Petit le 18 mars 2022.,"[(0, 25, 1), (36, 49, 2), (53, 65, 3)]"
44,Contrat de partenariat signé par Jean Dupont le 2 février 2021.,"[(0, 22, 1), (33, 44, 2), (48, 62, 3)]"
45,Contrat de fourniture signé par Sarah Bernard le 12 décembre 2020.,"[(0, 21, 1), (32, 45, 2), (49, 65, 3)]"
46,Contrat d'assurance signé par Julie Martin le 5 août 2019.,"[(0, 19, 1), (30, 42, 2), (46, 57, 3)]"
47,Contrat de travail signé par Marc Robert le 20 octobre 2022.,"[(0, 18, 1), (29, 40, 2), (44, 59, 3)]"
48,Contrat de bail signé par Lucie Noël le 15 janvier 2023.,"[(0, 15, 1), (26, 36, 2), (40, 55, 3)]"
49,Accord de confidentialité signé par Sophie Leclerc le 15 janvier 2023.,"[(0, 25, 1), (36, 50, 2), (54, 69, 3)]"
50,Accord de cession signé par Paul Garnier le 18 mars 2022.,"[(0, 17, 1), (28, 40, 2), (44, 56, 3)]"
51,Accord commercial signé par Nicolas Petit le 18 mars 2022.,"[(0, 17, 1), (28, 41, 2), (45, 57, 3)]"
52,Contrat de prestation de services signé par Sarah Bernard le 25 avril 2020.,"[(0, 33, 1), (44, 57, 2), (61, 74, 3)]"
53,Contrat de bail signé par Paul Garnier le 12 décembre 2020.,"[(0, 15, 1), (26, 38, 2), (42, 58, 3)]"
54,Accord de collaboration signé par Julie Martin le 10 juin 2021.,"[(0, 23, 1), (34, 46, 2), (50, 62, 3)]"
55,Accord de cession signé par Louis Moreau le 20 octobre 2022.,"[(0, 17, 1), (28, 40, 2), (44, 59, 3)]"
56,Contrat de fourniture signé par Jean Dupont le 20 octobre 2022.,"[(0, 21, 1), (32, 43, 2), (47, 62, 3)]"
57,Contrat de partenariat signé par Marc Robert le 12 décembre 2020.,"[(0, 22, 1), (33, 44, 2), (48, 64, 3)]"
58,Contrat de fourniture signé par Claire Durand le 2 février 2021.,"[(0, 21, 1), (32, 45, 2), (49, 63, 3)]"
59,Contrat de prestation de services signé par Louis Moreau le 25 avril 2020.,"[(0, 33, 1), (44, 56, 2), (60, 73, 3)]"
60,Accord de cession signé par Paul Garnier le 7 juillet 2021.,"[(0, 17, 1), (28, 40, 2), (44, 58, 3)]"
61,Contrat de bail signé par Claire Durand le 20 octobre 2022.,"[(0, 15, 1), (26, 39, 2), (43, 58, 3)]"
62,Contrat de prestation de services signé par Julie Martin le 20 octobre 2022.,"[(0, 33, 1), (44, 56, 2), (60, 75, 3)]"
63,Accord de cession signé par Lucie Noël le 12 décembre 2020.,"[(0, 17, 1), (28, 38, 2), (42, 58, 3)]"
64,Contrat de fourniture signé par Louis Moreau le 10 juin 2021.,"[(0, 21, 1), (32, 44, 2), (48, 60, 3)]"
65,Accord commercial signé par Louis Moreau le 20 octobre 2022.,"[(0, 17, 1), (28, 40, 2), (44, 59, 3)]"
66,Accord de collaboration signé par Julie Martin le 2 février 2021.,"[(0, 23, 1), (34, 46, 2), (50, 64, 3)]"
67,Contrat de travail signé par Louis Moreau le 10 juin 2021.,"[(0, 18, 1), (29, 41, 2), (45, 57, 3)]"
68,Accord de confidentialité signé par Julie Martin le 10 juin 2021.,"[(0, 25, 1), (36, 48, 2), (52, 64, 3)]"
69,Accord de cession signé par Julie Martin le 20 octobre 2022.,"[(0, 17, 1), (28, 40, 2), (44, 59, 3)]"
70,Contrat de bail signé par Marc Robert le 20 octobre 2022.,"[(0, 15, 1), (26, 37, 2), (41, 56, 3)]"
71,Contrat de prestation de services signé par Claire Durand le 10 juin 2021.,"[(0, 33, 1), (44, 57, 2), (61, 73, 3)]"
72,Contrat d'assurance signé par Julie Martin le 18 mars 2022.,"[(0, 19, 1), (30, 42, 2), (46, 58, 3)]"
73,Contrat de travail signé par Paul Garnier le 12 décembre 2020.,"[(0, 18, 1), (29, 41, 2), (45, 61, 3)]"
74,Contrat de partenariat signé par Lucie Noël le 15 janvier 2023.,"[(0, 22, 1), (33, 43, 2), (47, 62, 3)]"
75,Contrat de partenariat signé par Paul Garnier le 30 septembre 2023.,"[(0, 22, 1), (33, 45, 2), (49, 66, 3)]"
76,Accord commercial signé par Sophie Leclerc le 20 octobre 2022.,"[(0, 17, 1), (28, 42, 2), (46, 61, 3)]"
77,Accord de collaboration signé par Nicolas Petit le 2 février 2021.,"[(0, 23, 1), (34, 47, 2), (51, 65, 3)]"
78,Accord de collaboration signé par Nicolas Petit le 12 décembre 2020.,"[(0, 23, 1), (34, 47, 2), (51, 67, 3)]"
79,Contrat de prestation de services signé par Julie Martin le 10 juin 2021.,"[(0, 33, 1), (44, 56, 2), (60, 72, 3)]"
80,Accord de cession signé par Lucie Noël le 2 février 2021.,"[(0, 17, 1), (28, 38, 2), (42, 56, 3)]"
81,Contrat de prestation de services signé par Claire Durand le 30 septembre 2023.,"[(0, 33, 1), (44, 57, 2), (61, 78, 3)]"
82,Accord de confidentialité signé par Julie Martin le 30 septembre 2023.,"[(0, 25, 1), (36, 48, 2), (52, 69, 3)]"
83,Contrat de fourniture signé par Lucie Noël le 15 janvier 2023.,"[(0, 21, 1), (32, 42, 2), (46, 61, 3)]"
84,Contrat de partenariat signé par Claire Durand le 30 septembre 2023.,"[(0, 22, 1), (33, 46, 2), (50, 67, 3)]"
85,Contrat d'assurance signé par Sarah Bernard le 12 décembre 2020.,"[(0, 19, 1), (30, 43, 2), (47, 63, 3)]"
86,Contrat de fourniture signé par Sophie Leclerc le 30 septembre 2023.,"[(0, 21, 1), (32, 46, 2), (50, 67, 3)]"
87,Accord de cession signé par Louis Moreau le 7 juillet 2021.,"[(0, 17, 1), (28, 40, 2), (44, 58, 3)]"
88,Contrat de bail signé par Jean Dupont le 5 août 2019.,"[(0, 15, 1), (26, 37, 2), (41, 52, 3)]"
89,Contrat de bail signé par Sarah Bernard le 2 février 2021.,"[(0, 15, 1), (26, 39, 2), (43, 57, 3)]"
90,Contrat de bail signé par Claire Durand le 18 mars 2022.,"[(0, 15, 1), (26, 39, 2), (43, 55, 3)]"
91,Contrat de partenariat signé par Sophie Leclerc le 30 septembre 2023.,"[(0, 22, 1), (33, 47, 2), (51, 68, 3)]"
92,Accord de collaboration signé par Sarah Bernard le 30 septembre 2023.,"[(0, 23, 1), (34, 47, 2), (51, 68, 3)]"
93,Contrat de prestation de services signé par Louis Moreau le 25 avril 2020.,"[(0, 33, 1), (44, 56, 2), (60, 73, 3)]"
94,Accord de collaboration signé par Claire Durand le 12 décembre 2020.,"[(0, 23, 1), (34, 47, 2), (51, 67, 3)]"
95,Accord de cession signé par Paul Garnier le 12 décembre 2020.,"[(0, 17, 1), (28, 40, 2), (44, 60, 3)]"
96,Accord de confidentialité signé par Nicolas Petit le 18 mars 2022.,"[(0, 25, 1), (36, 49, 2), (53, 65, 3)]"
97,Contrat de travail signé par Paul Garnier le 12 décembre 2020.,"[(0, 18, 1), (29, 41, 2), (45, 61, 3)]"
98,Accord commercial signé par Sophie Leclerc le 30 septembre 2023.,"[(0, 17, 1), (28, 42, 2), (46, 63, 3)]"
99,Accord de collaboration signé par Sophie Leclerc le 7 juillet 2021.,"[(0, 23, 1), (34, 48, 2), (52, 66, 3)]"
